,daya_baterai,px_panjang,px_lebar,berat_hp,tebal_hp,kapasitas_ram,jumlah_prosesor,price_range,bluetooth_0,bluetooth_1
770,741,334,594,178,0.3,1886,5,0,1,0
771,1342,991,1638,86,0.6,2746,7,3,1,0
773,576,757,1518,121,0.1,1519,2,1,1,0
775,950,86,1681,124,0.1,1305,8,0,1,0
776,1225,217,1101,138,0.6,2675,7,2,1,0
777,1561,885,1811,134,0.5,1783,2,2,1,0
778,1768,1303,1814,88,0.8,3256,7,3,0,1
779,1726,379,1223,193,0.6,2239,4,2,0,1
780,570,1331,1917,111,0.3,3663,7,3,0,1
781,1783,1081,1979,104,0.7,387,6,1,1,0
784,1271,1260,1788,161,0.9,892,1,1,1,0
785,668,195,1292,114,0.3,1201,1,0,1,0
786,635,599,1299,110,1.0,2452,7,2,0,1
788,536,547,705,135,0.7,1211,3,0,0,1
789,1723,202,1791,164,1.0,3587,8,3,0,1
791,602,1571,1717,141,0.9,2189,8,2,1,0
792,1996,671,1445,122,0.4,2236,4,2,1,0
793,1986,282,1358,165,0.1,1614,8,1,1,0
795,832,9,1944,165,0.1,3946,5,3,0,1
799,920,209,1078,115,0.4,785,7,0,1,0
800,914,706,721,147,0.7,1122,4,0,0,1
801,609,58,1253,117,0.3,2581,1,1,0,1
803,1436,1826,1836,124,0.9,2736,8,3,1,0
804,1727,1463,1992,85,0.6,2457,7,3,1,0
805,713,1048,1123,94,0.1,928,1,0,1,0
808,1906,3,629,113,0.2,1871,3,1,0,1
810,536,1386,1539,182,0.3,284,7,0,1,0
811,972,681,1050,107,0.7,1900,3,1,0,1
816,571,224,783,141,0.5,2587,3,1,1,0
818,1382,612,719,199,0.3,2073,2,1,0,1
820,994,296,839,164,0.9,3104,2,2,1,0
821,788,42,1161,91,0.9,3969,8,3,1,0
822,936,1330,1686,153,0.2,2391,3,2,1,0
824,1031,532,1247,121,0.1,2385,2,2,0,1
830,1872,286,1484,80,0.5,2295,2,2,0,1
833,896,1379,1469,111,0.3,1060,1,1,1,0
839,561,426,865,99,0.1,2974,7,2,0,1
840,1528,454,1762,129,0.8,1282,5,1,0,1
841,1236,492,1403,143,0.3,942,4,0,0,1
842,1312,1233,1854,163,0.8,1087,2,1,1,0
848,1009,267,1841,115,0.6,2286,7,2,0,1
849,1433,1619,1651,153,0.9,3900,7,3,0,1
851,909,410,1643,146,0.1,1244,3,0,0,1
852,940,499,1090,115,0.7,2192,4,1,1,0
854,672,724,1127,194,0.1,1457,5,0,0,1
855,1980,312,1910,177,0.8,3865,1,3,1,0
857,1203,35,510,109,0.9,1672,2,0,0,1
859,916,1147,1393,82,0.2,1659,4,1,0,1
860,1919,304,1191,150,0.8,1391,4,1,1,0
861,753,606,1316,121,0.1,3484,8,3,0,1
862,1659,819,902,89,0.6,3255,1,3,1,0
863,772,741,1471,100,0.1,929,2,0,1,0
864,1245,330,1434,105,0.7,2676,5,2,0,1
868,1201,306,558,99,1.0,495,7,0,0,1
869,1068,935,1499,194,0.6,1754,5,1,1,0
870,1003,190,1905,119,0.6,1798,8,1,0,1
872,1883,836,1739,146,0.3,2600,6,3,0,1
874,793,15,1196,124,0.3,1050,8,0,0,1
877,1299,46,908,83,0.5,1938,6,1,0,1
880,1368,843,1145,115,0.1,2941,7,3,0,1
881,718,1185,1387,113,0.8,1824,6,1,1,0
882,1786,74,865,123,0.1,3033,3,3,1,0
883,1589,618,940,84,0.4,2373,3,2,1,0
886,1802,453,963,116,0.5,1885,5,2,0,1
892,1512,333,952,131,0.1,3002,1,2,0,1
899,1540,318,831,157,0.1,1161,7,0,1,0
900,989,614,679,156,0.6,2819,8,2,0,1
901,739,1052,1536,88,0.1,475,3,0,0,1
903,1672,1250,1435,172,0.5,1348,8,1,0,1
904,1801,100,1708,120,0.9,258,6,0,1,0
907,535,290,811,113,0.7,740,1,0,1,0
908,775,561,1510,189,0.4,2523,7,2,0,1
911,1325,499,695,146,0.1,2328,1,2,1,0
913,914,191,1495,100,0.8,808,2,0,0,1
914,776,991,1803,146,1.0,685,4,0,0,1
915,987,419,736,83,0.5,2757,3,2,0,1
916,1732,201,656,172,0.3,3940,5,3,1,0
917,1577,1045,1737,197,0.3,2060,5,2,1,0
918,1403,461,1251,164,0.1,3371,5,3,1,0
919,1628,412,643,101,0.9,3361,6,3,1,0
920,1197,649,1629,149,0.5,1797,6,1,1,0
922,831,172,1239,86,0.5,1075,6,0,1,0
923,1044,1230,1263,104,0.7,1794,6,1,1,0
925,1839,475,1493,200,0.5,927,7,1,0,1
926,1554,699,1492,105,0.1,2184,6,2,1,0
927,1018,992,1433,153,0.6,3143,8,3,1,0
928,1837,1420,1539,103,0.9,2294,8,3,1,0
933,1341,473,574,107,0.4,2200,8,1,0,1
936,842,20,756,188,0.6,2549,2,1,1,0
938,553,1287,1892,136,0.7,3300,2,3,0,1
940,831,1482,1490,134,0.7,2573,8,2,0,1
943,1566,1603,1930,126,0.5,659,2,1,0,1
944,1830,460,1583,191,0.9,2334,6,2,1,0
945,1995,649,1104,129,0.2,1322,1,1,0,1
946,543,391,984,192,0.7,2413,5,1,1,0
947,1332,846,855,168,0.8,2790,7,2,1,0
948,1827,55,1020,128,0.5,2844,5,2,1,0
950,814,1092,1406,177,0.8,1944,2,1,0,1
952,1913,675,742,111,0.6,2023,5,2,0,1
953,841,125,675,81,0.3,957,5,0,1,0
954,584,919,1343,199,0.4,3996,4,3,0,1
959,957,1201,1485,107,0.8,1846,5,1,0,1
960,503,778,1291,185,0.6,305,6,0,1,0
962,902,364,1360,122,0.7,3654,5,3,0,1
963,848,7,1294,103,0.1,436,7,0,0,1
966,658,1156,1750,103,0.9,3587,7,3,0,1
968,1565,781,1364,121,0.1,308,5,0,0,1
969,615,1216,1786,131,0.8,2769,6,2,0,1
970,1652,313,1264,89,0.7,2338,4,2,0,1
971,787,806,1423,93,0.6,2934,1,2,0,1
973,1995,1830,1963,139,0.8,1203,6,2,0,1
974,1940,112,858,93,0.7,2297,5,2,0,1
975,1960,868,877,165,0.2,3773,7,3,0,1
977,618,591,724,80,0.1,1424,4,0,0,1
978,1725,1125,1195,185,1.0,1243,6,1,1,0
979,1072,380,877,114,0.4,2715,8,2,0,1
981,504,1207,1539,163,0.4,2378,2,2,0,1
983,1444,1274,1340,103,0.9,712,1,0,0,1
984,1089,211,1409,153,0.1,2620,7,2,1,0
985,1560,745,1364,169,0.8,1938,7,2,1,0
986,1180,168,540,90,0.1,348,6,0,0,1
990,1561,662,874,174,0.8,1205,3,1,0,1
991,932,1176,1224,154,0.7,3817,7,3,1,0
997,867,70,1974,135,0.7,790,6,0,1,0
998,1583,1171,1673,148,0.2,2498,2,2,1,0
1000,1125,774,939,117,0.4,1641,1,1,0,1
1001,934,1111,1463,112,0.8,1017,5,0,1,0
1005,1174,744,1244,147,1.0,804,4,0,0,1
1006,1494,979,1190,101,0.2,3614,1,3,1,0
1008,757,535,697,163,0.2,3237,4,2,1,0
1009,1310,806,1016,105,0.4,1301,1,1,1,0
1010,866,692,1686,179,0.5,3825,8,3,1,0
1014,1661,594,1337,109,1.0,864,7,1,0,1
1016,907,171,507,151,0.2,584,1,0,1,0
1017,1063,1208,1232,101,0.8,3809,5,3,0,1
1018,1493,240,1414,102,0.5,2083,5,2,1,0
1019,1689,521,674,168,0.9,1172,2,0,0,1
1022,652,77,559,173,0.7,1974,5,0,0,1
1023,757,114,819,157,0.5,3433,7,2,0,1
1024,880,1116,1381,194,0.5,827,7,0,1,0
1025,1071,1328,1970,199,0.3,3393,4,3,1,0
1028,1348,1869,1942,98,0.3,955,3,1,1,0
1029,1035,831,1709,173,1.0,2002,6,1,0,1
1032,1733,357,527,119,1.0,3576,6,3,0,1
1033,1117,495,1035,177,0.1,1999,2,1,0,1
1035,1076,545,1300,105,0.2,2043,5,1,1,0
1036,1266,346,1468,184,0.2,2532,3,2,1,0
1040,1164,1107,1656,88,0.3,3859,1,3,0,1
1044,899,641,1638,192,0.3,2870,4,2,0,1
1045,1148,606,688,170,0.3,3127,5,2,1,0
1046,1408,613,1088,89,0.9,3952,5,3,0,1
1049,1695,308,1208,189,0.5,1629,5,1,0,1
1050,1975,775,1607,151,0.9,3022,1,3,0,1
1052,1193,730,1729,166,0.5,536,1,0,1,0
1054,1063,127,683,128,1.0,2910,5,2,1,0
1058,834,1421,1463,123,0.2,1591,1,1,1,0
1062,1762,525,704,83,0.1,2661,6,2,1,0
1063,1494,944,1003,93,0.9,1208,7,1,1,0
1064,873,1257,1411,152,0.6,575,7,0,0,1
1066,1472,1452,1744,130,0.5,985,6,1,1,0
1068,717,1878,1981,99,0.1,629,8,0,1,0
1071,1792,1626,1913,170,0.3,2563,7,3,0,1
1072,1236,517,809,188,0.1,1406,1,0,1,0
1074,840,1482,1591,150,0.7,2072,6,2,1,0
1077,1426,715,1163,84,0.6,1356,3,1,0,1
1078,743,1587,1659,95,0.3,316,2,0,1,0
1080,1509,1010,1684,81,0.3,1540,4,1,1,0
1083,965,130,998,109,1.0,1138,2,0,0,1
1084,717,217,1106,198,0.6,688,1,0,0,1
1087,823,1180,1350,182,0.2,3894,5,3,1,0
1088,571,177,1282,186,0.2,2598,7,1,1,0
1089,1900,934,1241,171,0.9,3917,1,3,0,1
1090,1762,300,527,189,0.9,1896,1,1,0,1
1091,652,464,781,142,0.6,565,3,0,1,0
1094,769,1385,1780,112,0.2,941,4,0,1,0
1095,1498,111,1167,191,0.1,577,4,0,0,1
1096,664,1076,1472,164,0.9,3774,2,3,1,0
1098,752,164,728,87,0.7,3860,7,3,1,0
1099,1249,605,1193,140,0.8,531,3,0,0,1
1100,1439,626,932,147,0.8,1790,1,1,1,0
1101,1429,246,820,100,0.9,3945,3,3,1,0
1102,1485,341,774,138,0.1,3271,4,3,1,0
1103,984,1036,1611,98,0.8,898,7,0,0,1
1104,817,722,766,144,0.5,2039,3,1,1,0
1106,633,709,1915,102,0.7,1401,6,1,0,1
1108,1848,195,533,178,0.1,3915,2,3,1,0
1112,946,1698,1771,166,0.1,3720,3,3,0,1
1114,1481,116,1533,96,0.6,2945,5,2,0,1
1116,1276,217,735,130,0.3,3798,2,3,0,1
1117,1970,654,882,80,0.3,2372,8,2,1,0
1119,1444,624,917,104,0.4,3764,7,3,0,1
1122,984,531,707,140,0.8,841,3,0,1,0
1123,1898,444,739,185,0.2,2114,7,2,1,0
1124,1359,446,901,107,0.5,1076,6,0,0,1
1126,1871,88,1682,81,0.1,2144,7,2,0,1
1128,1661,846,1634,172,1.0,2676,5,3,1,0
1130,1166,437,638,80,0.5,3887,1,3,0,1
1131,1109,1391,1787,98,0.4,1524,1,1,0,1
1132,1996,937,1083,138,0.1,1258,5,1,0,1
1133,1273,485,1399,178,0.6,558,6,0,0,1
1134,972,1392,1795,193,0.4,1615,5,1,0,1
1138,1581,693,850,172,0.4,1384,4,1,0,1
1139,1831,437,1113,148,0.2,2460,7,2,0,1
1140,879,403,1105,83,0.7,349,6,0,0,1
1141,972,297,589,82,0.7,3925,7,3,0,1
1142,1464,418,1341,153,0.7,1277,6,1,1,0
1144,1656,880,1456,166,0.1,1629,3,1,1,0
1145,1829,729,1267,160,0.4,2080,5,2,0,1
1149,915,875,1316,91,0.3,378,3,0,1,0
1152,1318,688,1591,188,0.8,1780,2,1,1,0
1153,1259,1210,1989,97,0.5,340,2,0,1,0
1156,733,445,1409,174,0.2,1403,7,0,1,0
1158,1552,430,658,180,0.3,2606,8,2,1,0
1159,709,119,1531,130,0.1,3568,5,3,1,0
1160,1842,783,1227,179,0.4,3721,4,3,0,1
1165,660,262,1178,111,0.5,588,2,0,1,0
1167,1101,387,1269,148,0.2,2196,2,1,1,0
1169,623,1749,1781,102,0.1,3537,8,3,0,1
1172,581,803,1613,185,0.7,2819,5,2,1,0
1173,1289,713,1854,161,0.9,3167,6,3,1,0
1174,1076,1088,1718,191,0.7,2355,5,2,1,0
1175,685,433,648,93,0.8,728,7,0,1,0
1176,1929,349,1051,163,1.0,1913,6,1,0,1
1177,1572,1109,1937,157,0.2,2462,7,3,1,0
1178,601,818,1827,169,0.8,2651,4,2,0,1
1180,926,84,793,161,0.8,256,7,0,0,1
1181,1686,599,1073,182,0.8,780,5,0,0,1
1183,1571,713,1398,100,0.1,666,6,0,1,0
1184,1831,611,1381,150,0.9,3834,5,3,1,0
1188,875,300,1316,110,0.1,756,7,0,1,0
1192,1667,1211,1396,138,0.9,635,2,0,1,0
1193,589,429,815,160,0.6,2113,4,1,0,1
1195,1715,638,1615,83,0.5,625,8,0,1,0
1201,642,331,1011,197,0.8,3355,2,2,1,0
1202,811,333,1429,106,0.3,2111,6,1,0,1
1203,1741,719,755,140,0.1,2575,5,2,0,1
1204,1002,285,512,185,0.4,961,6,0,1,0
1208,908,154,941,95,0.6,3518,5,3,1,0
1209,640,976,1353,143,0.6,2711,8,2,1,0
1210,1064,1175,1569,184,0.2,654,6,0,1,0
1211,1049,39,1564,172,0.3,433,6,0,1,0
1212,1531,625,765,162,0.4,2524,6,2,1,0
1213,1329,1053,1458,181,0.9,1228,6,1,0,1
1217,1117,1258,1627,146,0.2,2003,2,2,0,1
1218,984,56,1931,119,0.5,2013,8,1,0,1
1220,1584,160,1291,135,0.6,1561,4,1,0,1
1224,1883,531,791,95,0.5,3724,2,3,0,1
1225,1623,1568,1832,120,0.9,1510,7,2,0,1
1226,1221,765,1899,152,0.4,2638,7,2,1,0
1228,1766,125,1227,141,0.6,3314,5,3,0,1
1231,1958,1524,1848,153,0.4,3064,1,3,1,0
1232,1902,766,877,155,0.2,940,4,1,1,0
1233,659,659,730,169,0.3,2190,8,1,1,0
1234,637,1080,1289,194,0.6,2725,4,2,0,1
1235,865,805,1804,159,0.1,2361,3,2,1,0
1237,1269,406,1036,180,1.0,2341,8,2,0,1
1240,1189,79,615,164,0.5,841,2,0,0,1
1244,1099,393,1096,146,0.3,1699,3,1,1,0
1245,1802,253,590,101,0.6,696,7,0,1,0
1247,528,574,637,142,0.8,3256,2,2,1,0
1250,1866,108,1781,182,0.5,3834,3,3,1,0
1252,1973,127,507,95,0.8,1724,8,1,0,1
1258,617,768,874,199,0.5,2213,7,1,0,1
1259,748,450,1554,150,0.9,2126,8,1,0,1
1262,1796,1024,1363,184,0.9,3577,2,3,0,1
1263,1110,961,1950,153,0.3,624,8,0,1,0
1264,793,1858,1935,133,0.9,2332,2,2,1,0
1265,1646,1725,1932,185,0.2,3339,2,3,0,1
1267,583,1658,1794,88,0.9,1799,8,1,0,1
1268,1248,71,1686,89,0.4,2454,3,2,1,0
1269,1589,1673,1759,100,0.1,3970,8,3,0,1
1270,1563,142,1699,170,0.2,3660,8,3,1,0
1271,1845,292,695,96,0.3,1731,1,1,0,1
1273,772,1242,1712,80,0.5,3242,4,3,0,1
1274,858,528,1416,84,0.1,3978,1,3,1,0
1275,1770,1098,1373,183,0.6,3785,6,3,0,1
1277,1349,648,1019,105,0.1,2462,7,2,0,1
1278,710,485,857,151,0.8,1419,5,0,0,1
1279,1641,224,1994,97,0.7,1695,8,2,1,0
1280,726,323,978,94,0.8,1342,4,0,1,0
1282,878,575,618,153,0.5,3497,4,2,0,1
1285,961,291,1434,114,0.6,2782,8,2,0,1
1286,1447,737,1455,155,0.2,568,8,0,0,1
1287,506,875,1025,159,0.8,2965,1,2,1,0
1288,1048,29,1670,182,1.0,2146,1,1,0,1
1289,1590,1058,1109,187,0.5,2836,4,3,1,0
1292,1438,859,867,169,0.6,2246,8,2,0,1
1293,1940,588,1809,194,0.2,820,4,1,0,1
1295,742,875,925,104,0.7,331,8,0,0,1
1296,1137,1250,1285,173,0.9,316,5,0,1,0
1300,991,1209,1678,158,0.3,2014,5,2,1,0
1301,965,297,653,131,1.0,3227,8,2,0,1
1302,1379,207,1370,83,1.0,651,1,0,0,1
1303,703,218,1065,113,0.3,1472,1,0,0,1
1304,1174,1097,1461,91,0.8,285,2,0,1,0
1305,712,558,1208,84,0.2,2190,2,1,0,1
1306,1811,204,1132,115,1.0,348,6,0,0,1
1307,922,1016,1383,188,0.9,1165,7,0,1,0
1309,798,497,627,148,0.8,3593,2,2,0,1
1311,1702,1240,1931,177,0.1,1430,5,2,1,0
1313,1322,177,1990,140,0.8,1418,3,1,1,0
1314,875,469,853,146,0.7,702,8,0,0,1
1315,1110,800,1455,152,0.1,2572,3,2,1,0
1319,1676,134,1197,145,0.2,2515,1,2,1,0
1320,1949,518,592,186,0.8,1125,5,1,1,0
1321,1631,177,1905,198,0.1,301,7,0,1,0
1323,1242,315,1796,166,0.2,318,4,0,0,1
1325,708,206,620,116,0.3,1419,7,0,1,0
1326,1220,403,1933,125,0.5,2589,4,2,1,0
1328,1009,912,1043,102,0.6,1716,8,1,0,1
1329,1816,800,1089,186,0.1,3637,5,3,0,1
1330,1319,85,1152,107,0.9,2227,1,1,0,1
1331,989,46,1069,124,0.7,1737,1,1,0,1
1332,1751,170,564,178,0.6,2969,6,2,1,0
1333,1911,1795,1958,163,0.6,3872,8,3,0,1
1334,1520,151,1005,177,0.5,3826,8,3,0,1
1335,569,351,1159,170,0.8,2351,3,1,0,1
1339,1408,875,982,151,0.1,3162,4,3,0,1
1340,930,1017,1289,144,0.9,2016,8,1,0,1
1341,1044,42,1262,129,0.6,1816,4,1,0,1
1342,1043,716,1626,111,0.1,912,3,0,0,1
1343,1592,510,522,181,0.1,2103,2,1,1,0
1344,688,376,1957,109,0.2,1382,5,1,0,1
1346,1277,309,1460,142,0.4,3559,6,3,0,1
1347,618,879,896,88,0.2,2399,3,1,0,1
1355,930,77,1025,97,0.4,2457,6,1,0,1
1356,1414,262,829,99,0.8,3799,7,3,1,0
1357,1002,115,1111,146,0.1,1295,1,0,1,0
1358,1602,466,788,114,0.7,1037,3,0,0,1
1359,1617,274,1079,111,0.7,2754,2,2,1,0
1360,1991,298,1037,181,0.1,1861,1,1,1,0
1361,1230,416,676,123,0.8,988,5,0,0,1
1363,1412,2,660,86,0.2,1853,3,1,1,0
1366,904,42,507,168,0.4,1360,3,0,1,0
1367,1864,168,981,178,0.7,2686,1,2,1,0
1368,516,126,698,138,0.9,3731,1,2,0,1
1369,1856,277,1155,155,0.1,2052,5,2,1,0
1370,986,199,679,182,0.8,1149,4,0,0,1
1371,560,356,1903,146,1.0,2360,8,1,1,0
1372,805,641,704,97,0.1,418,4,0,0,1
1373,1924,1438,1923,136,0.9,3646,6,3,1,0
1375,601,356,765,154,0.1,532,4,0,0,1
1377,1263,954,1609,146,0.4,1958,6,2,0,1
1378,1537,686,1305,158,0.8,2857,4,3,1,0
1379,1595,1475,1988,88,0.9,908,1,1,1,0
1380,1002,948,1007,180,0.7,1234,7,0,0,1
1382,513,282,710,174,0.4,3400,8,2,1,0
1383,1384,983,1210,82,0.1,1221,3,1,0,1
1386,1067,79,681,135,0.5,706,7,0,0,1
1387,868,276,1026,83,0.8,1653,4,1,1,0
1391,1317,179,613,113,0.5,3436,5,3,1,0
1394,1234,209,725,174,0.9,3351,6,2,1,0
1396,981,75,688,136,0.1,1539,3,0,0,1
1397,1330,462,1304,84,0.8,3269,4,3,1,0
1399,748,88,709,110,1.0,1974,7,1,1,0
1401,648,819,1997,91,1.0,2991,5,2,1,0
1402,969,491,589,124,0.3,404,7,0,1,0
1405,1127,928,1049,163,0.8,2048,1,1,0,1
1408,1765,835,1175,87,0.7,3695,2,3,1,0
1409,1958,304,637,190,0.2,1409,2,1,0,1
1411,1977,1226,1242,171,1.0,1971,7,2,0,1
1412,1266,1187,1595,86,0.4,398,7,0,1,0
1413,1887,1172,1798,126,0.2,3348,8,3,0,1
1414,819,438,822,83,0.2,1094,8,0,0,1
1423,1045,1078,1564,175,0.1,2137,6,2,0,1
1424,1809,433,1661,123,0.7,2784,6,3,1,0
1425,1109,124,833,151,0.9,2785,1,2,0,1
1426,1117,798,817,144,0.6,2895,7,2,1,0
1427,803,627,935,106,0.3,2801,4,2,1,0
1429,545,381,1452,131,0.3,616,3,0,1,0
1430,1695,713,1742,84,0.4,3296,5,3,1,0
1431,1628,500,1713,136,0.1,3358,2,3,0,1
1436,1591,548,1641,161,1.0,282,3,0,0,1
1438,627,211,507,142,0.8,896,3,0,1,0
1439,1156,945,1913,173,0.9,2735,3,2,0,1
1440,565,543,703,158,0.1,2156,2,1,1,0
1441,687,584,1151,151,0.6,3416,4,3,0,1
1443,742,577,1359,190,0.2,3557,7,3,1,0
1444,1891,169,1108,129,0.4,3704,7,3,1,0
1445,1188,1339,1558,114,0.6,2896,2,3,0,1
1447,707,1027,1508,194,0.1,1853,2,1,1,0
1448,924,108,1813,167,0.3,1620,8,1,1,0
1450,615,1021,1958,130,0.5,1906,5,1,0,1
1452,1681,195,1205,158,0.4,1122,2,0,0,1
1458,1481,249,522,105,0.5,2635,3,2,0,1
1460,840,987,1081,137,0.8,3486,7,3,1,0
1462,867,289,724,159,0.1,2157,4,1,0,1
1463,1961,861,1888,100,0.5,2355,7,3,0,1
1466,1778,1028,1445,101,0.5,3941,6,3,1,0
1468,1600,1315,1710,94,0.3,2073,4,2,1,0
1470,605,160,1026,142,0.1,392,3,0,1,0
1473,1306,867,1258,174,0.4,2521,3,2,0,1
1474,1286,18,662,98,0.1,424,2,0,0,1
1476,534,393,1199,189,1.0,3926,5,3,1,0
1480,1519,1122,1702,112,0.7,2440,7,2,1,0
1482,904,1094,1496,147,0.6,545,6,0,1,0
1483,1170,427,684,169,0.4,2366,6,1,1,0
1486,1835,385,583,193,0.1,448,7,0,0,1
1488,1492,1684,1746,85,0.9,2259,3,3,0,1
1492,1763,238,1893,184,0.2,792,3,0,1,0
1493,1066,53,1504,167,0.5,1044,5,0,1,0
1495,1224,522,563,157,1.0,3796,1,3,0,1
1496,1158,311,1796,123,0.7,1542,2,1,1,0
1497,1190,1399,1646,93,0.2,3610,5,3,1,0
1498,1191,179,1813,169,0.9,1028,1,0,1,0
1499,706,543,938,108,0.1,2419,3,1,1,0
